station_type,state,station_name,date_range,latitude,longitude,elevation,county,basin
SNTL,CO,Cochetopa Pass (1059),2004-September,38.16,-106.6,10020,Saguache,Luders Creek (130100040203)
SNTL,CO,Columbine (408),1978-October,40.39,-106.6,9160,Jackson,Upper Grizzly Creek (101800010102)
SNTL,CO,Columbine Pass (409),1985-October,38.42,-108.38,9400,Montrose,Potter Creek (140200050202)
SNTL,CO,Columbus Basin (904),1994-August,37.44,-108.02,10785,La Plata,Headwaters La Plata River (140801050101)
SNTL,CO,Copeland Lake (412),1979-October,40.21,-105.57,8600,Boulder,Headwaters North Saint Vrain Creek (101900050202)
SNTL,CO,Copper Mountain (415),1978-October,39.49,-106.17,10550,Summit,West Tenmile Creek (140100020302)
SNTL,CO,Crosho (426),1985-October,40.17,-107.06,9100,Rio Blanco,Outlet Hunt Creek (140500010106)
SNTL,CO,Culebra #2 (430),1978-October,37.21,-105.2,10500,Costilla,Headwaters Culebra Creek (130100020902)
SNTL,CO,Cumbres Trestle (431),1979-October,37.02,-106.45,10040,Conejos,Wolf Creek (130201020203)
SNTL,CO,Deadman Hill (438),1978-October,40.81,-105.77,10220,Larimer,Lower Dale Creek (101900070502)
SNTL,CO,Dry Lake (457),1979-October,40.53,-106.78,8400,Routt,City of Steamboat Springs-Yampa River (140500010409)
SNTL,CO,Echo Lake (936),1998-August,39.66,-105.59,10600,Clear Creek,Vance Creek (101900020801)
SNTL,CO,El Diente Peak (465),1985-October,37.79,-108.02,10000,Dolores,Cayton Valley-Dolores River (140300020202)
SNTL,CO,Elk River (467),1978-October,40.85,-106.97,8700,Routt,Steamboat Lake (140500010206)
SNTL,CO,Elkhead Divide (1252),2016-September,40.8,-107.1,8780,Routt,Headwaters Elkhead Creek (140500010601)
SNTL,CO,Elliot Ridge (1120),2009-August,39.86,-106.42,10520,Summit,Deep Creek-Blue River (140100020602)
SNTL,CO,Fool Creek (1186),2011-July,39.87,-105.87,11150,Grand,Saint Louis Creek (140100010203)
SNTL,CO,Fremont Pass (485),1979-October,39.38,-106.2,11400,Summit,Upper Tenmile Creek (140100020301)
SNTL,CO,Glen Cove (1057),2004-August,38.88,-105.07,11460,Teller,Headwaters Fountain Creek (110200030201)
SNTL,CO,Grayback (1058),2004-September,37.47,-106.54,11620,Rio Grande,East Fork Pinos Creek (130100020101)
SNTL,CO,Grizzly Peak (505),1979-October,39.65,-105.87,11100,Summit,North Fork Snake River (140100020201)
SNTL,CO,Hayden Pass (1102),2007-August,38.29,-105.85,10720,Saguache,Piney Creek-San Luis Creek (130100030301)
SNTL,CO,High Lonesome (1187),2011-July,40.04,-105.75,10620,Grand,Meadows Creek-Ranch Creek (140100010205)
SNTL,CO,Hoosier Pass (531),1979-October,39.36,-106.06,11400,Summit,Headwaters Blue River (140100020101)
SNTL,CO,Hourglass Lake (1122),2008-October,40.58,-105.63,9380,Larimer,Beaver Creek (101900070101)
SNTL,CO,Idarado (538),1979-October,37.93,-107.68,9800,Ouray,Red Mountain Creek (140200060201)
