statemod_diversion,individual_diversion
53_ADC028, 5300689
53_ADC028, 5300690
53_ADC028, 5300700
53_ADC028, 5300706
53_ADC028, 5300726
53_ADC028, 5300744
53_ADC028, 5300772
53_ADC028, 5300781
53_ADC028, 5300798
53_ADC028, 5300802
53_ADC028, 5300809
53_ADC028, 5300838
53_ADC028, 5300839
53_ADC028, 5300840
53_ADC028, 5300842
53_ADC028, 5300881
53_ADC028, 5300892
53_ADC028, 5301032
53_ADC028, 5301047
53_ADC028, 5301145
53_ADC028, 5301149
53_ADC028, 5301159
70_ADC049, 7000500
70_ADC049, 7000510
70_ADC049, 7000511
70_ADC049, 7000512
70_ADC049, 7000514
70_ADC049, 7000516
70_ADC049, 7000517
70_ADC049, 7000526
70_ADC049, 7000538
70_ADC049, 7000539
70_ADC049, 7000540
70_ADC049, 7000541
70_ADC049, 7000542
70_ADC049, 7000544
70_ADC049, 7000545
70_ADC049, 7000549
70_ADC049, 7000551
70_ADC049, 7000555
70_ADC049, 7000556
70_ADC049, 7000559
70_ADC049, 7000561
70_ADC049, 7000562
70_ADC049, 7000563
70_ADC049, 7000568
70_ADC049, 7000572
70_ADC049, 7000573
70_ADC049, 7000578
70_ADC049, 7000588
70_ADC049, 7000589
70_ADC049, 7000592
70_ADC049, 7000597
70_ADC049, 7000628
70_ADC049, 7000639
70_ADC050, 7000501
70_ADC050, 7000503
70_ADC050, 7000505
70_ADC050, 7000506
70_ADC050, 7000519
70_ADC050, 7000527
70_ADC050, 7000529
70_ADC050, 7000533
70_ADC050, 7000534
70_ADC050, 7000535
70_ADC050, 7000536
70_ADC050, 7000547
70_ADC050, 7000553
70_ADC050, 7000565
70_ADC050, 7000575
70_ADC050, 7000587
70_ADC050, 7000593
70_ADC050, 7000605
72_ADC051, 7200538
72_ADC051, 7200615
72_ADC051, 7200928
72_ADC051, 7200943
72_ADC051, 7200953
72_ADC051, 7201252
72_ADC051, 7201253
72_ADC052, 7200662
72_ADC052, 7200691
72_ADC052, 7200750
72_ADC052, 7200752
72_ADC052, 7200822
72_ADC052, 7200858
72_ADC053, 7200522
72_ADC053, 7200540
72_ADC053, 7200566
72_ADC053, 7200572
72_ADC053, 7200605
72_ADC053, 7200619
72_ADC053, 7200622
72_ADC053, 7200694
72_ADC053, 7200697
72_ADC053, 7200723
72_ADC053, 7200728
72_ADC053, 7200830
72_ADC053, 7200863
72_ADC053, 7200902
72_ADC053, 7200914
72_ADC053, 7200944
72_ADC054, 7200502
72_ADC053, 7200503
72_ADC053, 7200569
72_ADC053, 7200582
72_ADC053, 7200614
72_ADC053, 7200653
72_ADC053, 7200654
72_ADC053, 7200733
72_ADC053, 7200749
72_ADC053, 7200790
72_ADC053, 7200925
72_ADC053, 7200949
72_ADC053, 7201338
72_ADC053, 7201733
72_ADC055, 7200501
72_ADC055, 7200550
72_ADC055, 7200588
72_ADC055, 7200604
72_ADC055, 7200675
72_ADC055, 7200739
72_ADC055, 7200769
72_ADC055, 7200774
72_ADC055, 7200775
72_ADC055, 7200791
72_ADC055, 7200811
72_ADC055, 7200845
72_ADC055, 7200871
72_ADC055, 7200906
72_ADC055, 7200937
72_ADC055, 7201350
72_ADC055, 7201457
72_ADC056, 7200655
72_ADC056, 7200665
72_ADC056, 7200734
72_ADC056, 7200751
72_ADC056, 7200854
72_ADC056, 7200887
72_ADC056, 7200904
72_ADC056, 7200929
72_ADC056, 7201181
72_ADC056, 7201451
72_ADC057, 7200505
72_ADC057, 7200515
72_ADC057, 7200532
72_ADC057, 7200617
72_ADC057, 7200637
72_ADC057, 7200805
72_ADC057, 7200846
72_ADC058, 7200516
72_ADC058, 7200519
72_ADC058, 7200521
72_ADC058, 7200722
72_ADC058, 7200777
72_ADC058, 7200956
72_ADC058, 7201443
72_ADC059, 7200504
72_ADC059, 7200525
72_ADC059, 7200594
72_ADC059, 7200618
72_ADC059, 7200633
72_ADC059, 7200659
72_ADC059, 7200673
72_ADC059, 7200711
72_ADC059, 7200757
72_ADC059, 7200767
72_ADC059, 7200768
72_ADC059, 7200824
72_ADC059, 7200828
